User_name,Datetime,Content,Links,Tweet_ID
CapnSasquatch,2020-12-29T23:59:54.000Z,"ASK????  Be a president, mandate mask use.",,1344070671756718080
kci2013,2020-12-29T23:59:54.000Z,Hey Brian - why don’t you just call up Rod Phillips on his cell phone like usual and ask him for a comment on where he is and why he felt he was special and entitled to vacation while the rest of Ontario is on lockdown,,1344070671459094530
BernadetteFry18,2020-12-29T23:59:54.000Z,'Out of control': Dr. Fauci on Covid-19 surge cnn.com/videos/health/ …,https://t.co/oqBvEL7xwe,1344070671043678208
AZkindness,2020-12-29T23:59:54.000Z,But you can’t even protect the lady sitting next to you by wearing a mask. Wtf,,1344070670699786241
LibsIllegals,2020-12-29T23:59:54.000Z,He took it seriously enough that there is now a vaccine that all of douche bag politicians are taking before first responders.,,1344070670666313730
dehhartman,2020-12-29T23:59:53.000Z,The disturbing images of the COVID-19 pandemic that Americans never saw  dailykos.com/story/2020/12/ …,https://t.co/OjB9ugU3U0,1344070669391298560
NilesCole,2020-12-29T23:59:53.000Z,2000 miles and eight states later and we have arrived in Yuma! What I learned on my trip is that you can’t get a grilled chicken breast or a salad at McDonald’s anymore but you can get a triple cheeseburger because Covid  doesn’t stick to beef,,1344070669076746240
DoodleDipsey,2020-12-29T23:59:53.000Z,"Congratulations person of privilege.  @RepLipinski  you will not go hungry, bc of pandemic, lose your home nor die of CoVid",https://x.com/RepLipinski,1344070668078489601
mooboo38,2020-12-29T23:59:53.000Z,"Because government officials don't get covid, nor the vaccine. ""If"" they do it's smoke and mirrors in front of the cameras",,1344070666467860482
rizzchris,2020-12-29T23:59:52.000Z,he would have done this  statutesandstories.com/blog_html/an-a ….,https://t.co/cPQXXguttV,1344070665565945856
JuanitaVVenega1,2020-12-29T23:59:52.000Z,@CNN  BIDEN  SAID HE HAD HIS TEAM READY TO DISTRIBUTE AND FIGHT COVID . NOW WE KEEP THE BLAME GAME THAT IT'S  TRUMPS FAULT IT'S TO SLOW DUE TO TRUMP. STOP THAT BLAME GAME. TELL YOUR TEAM TO GET TO WORK.,https://x.com/CNN,1344070664194457600
nise_yoshimi,2020-12-29T23:59:52.000Z,damn china expert please tell me more about this thing that was definitely official central government policy and didn't just happen like once. please invalidate all the hard work done over here to contain covid with a fuckin ten second YouTube video.,,1344070662512635904
